Country,GDP_per_Capita_USD,Life_Expectancy_Years,Infant_Mortality_per_1000,Adult_Literacy_Rate_pct,Health_Expenditure_pct_GDP,Access_to_Electricity_pct
Uganda,817,63.7,33.4,76.5,3.8,42.7
Kenya,1838,66.7,29.7,81.5,4.6,71.4
Tanzania,1099,65.5,35.2,77.9,3.6,37.7
Rwanda,822,69.0,26.5,73.2,6.6,46.5
Ethiopia,936,66.6,36.1,51.8,3.3,51.1
Nigeria,2066,54.7,72.3,62.0,3.0,55.4
Ghana,2328,64.1,32.9,79.0,3.5,84.3
South Africa,6001,64.9,23.6,87.0,8.3,84.4
Egypt,3699,72.0,17.1,71.2,4.6,100.0
Morocco,3498,76.7,18.2,73.8,5.3,100.0
Tunisia,3687,76.5,14.0,79.0,7.0,99.8
Senegal,1606,68.0,30.9,51.9,4.1,70.4
Cameroon,1534,59.3,48.8,77.1,3.5,63.0
Cote d Ivoire,2486,58.6,56.0,47.2,3.6,67.8
DR Congo,584,60.7,63.4,77.3,3.9,19.1
Mozambique,504,60.9,52.4,60.7,7.1,30.6
Zambia,1291,63.9,40.0,86.8,4.9,43.1
Zimbabwe,1464,61.5,38.2,86.5,6.4,40.5
Botswana,7348,69.6,25.3,86.7,5.8,72.3
Namibia,4866,63.7,28.5,88.3,8.9,56.2
Mauritius,10547,75.3,12.8,91.3,5.9,99.7
Algeria,3974,76.8,19.6,81.4,6.2,99.6
Angola,2974,61.2,49.5,66.0,2.9,45.8
Madagascar,515,67.0,38.8,74.8,3.9,26.9
Mali,879,59.3,58.4,35.5,3.8,50.6
